Supplementary Table 3: Total identified proteins and their respective NASF before filtration steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main.Acessions,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9
Groups,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control 
A0A024R0K5,0.002386635,NA,NA,NA,NA,NA,NA,0.002386635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A024R0T9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0390625,NA,NA,NA,NA,NA
A0A024R4U1,NA,NA,NA,0.015748031,NA,NA,NA,0.015748031,NA,NA,NA,NA,NA,NA,NA,0.015748031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A024R6I7,0.008441578,0.00601983,0.043970967,0.015752793,0.034803366,0.01784513,0.012540438,0.019597696,0.007967422,0.009708853,0.008234183,0.023635938,0.016027038,0.015560972,0.009286128,0.007894525,0.014917833,0.01266881,0.017344147,0.004815864,0.006255902,0.006767391,0.013936746,0.014243333,0.013013456,0.003619767,0.016377866,0.010400284,0.005949008,0.00710602
A0A024R6P0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010493489,NA,NA,NA,NA
A0A024R9Q5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A059QF38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007246377,NA,NA,NA,0.007246377,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003623188,NA,NA
A0A059QFL0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A059RHM0,NA,NA,NA,0.000814775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000543183,NA,NA,NA,NA,NA,0.000271592,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A068LKP9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025191676,NA,NA,NA
A0A068LKQ2,0.004166667,0.004166667,0.00952381,0.018333333,0.01933204,0.00462963,0.0046875,0.005555556,0.008333333,0.016666667,0.008068783,0.007463602,NA,0.009780093,0.004166667,0.005,0.0140625,0.00625,0.004166667,NA,NA,0.005416667,NA,0.014351852,0.022916667,NA,0.010416667,0.01,0.008333333,0.014015152
